State,County,lat,long,ID_loc
indiana,sullivan,39.049272200000004,-87.41726440000001,178
indiana,switzerland,38.824925799999995,-85.0373975,179
indiana,tippecanoe,40.391606599999996,-86.8879689,180
indiana,tipton,40.2899154,-86.058442,181
indiana,union,39.6196086,-84.9292376,182
indiana,vanderburgh,38.0461185,-87.58065529999999,183
indiana,vermillion,39.8763626,-87.4635672,184
indiana,vigo,39.4174652,-87.39742690000001,185
indiana,wabash,40.8065352,-85.7833563,186
indiana,warren,40.3424546,-87.3564255,187
indiana,warrick,38.0906065,-87.27589329999999,188
indiana,washington,38.6592152,-87.172789,189
indiana,wayne,39.8638778,-85.01985859999999,190
indiana,wells,40.7013353,-85.21161020000001,191
indiana,white,40.7422434,-86.8713913,192
indiana,whitley,41.1238216,-85.5035187,193
iowa,adair,41.3127814,-94.49533029999999,194
iowa,adams,41.0161621,-94.68501859999999,195
iowa,allamakee,43.296173100000004,-91.3961856,196
iowa,appanoose,40.7455904,-92.8649061,197
iowa,audubon,41.670204999999996,-94.91065259999999,198
iowa,benton,42.0599693,-92.0776319,199
iowa,black hawk,42.4607526,-92.3030235,200
iowa,boone,42.017179799999994,-93.9254114,201
iowa,bremer,42.7669649,-92.30998559999999,202
iowa,buchanan,42.4634928,-91.8449198,203
iowa,buena vista,42.7445814,-95.1127525,204
iowa,butler,42.733651200000004,-92.78194930000001,205
iowa,calhoun,42.3808184,-94.6332459,206
iowa,carroll,42.019362799999996,-94.86033499999999,207
iowa,cass,41.3122834,-94.9215151,208
iowa,cedar,41.760860799999996,-91.1263198,209
iowa,cerro gordo,43.0742443,-93.2548746,210
iowa,cherokee,42.7247968,-95.62498029999999,211
iowa,chickasaw,43.059940000000005,-92.31667900000001,212
iowa,clarke,41.0152092,-93.78429759999999,213
iowa,clay,43.080937299999995,-95.1407762,214
iowa,clayton,42.8547706,-91.3667151,215
iowa,clinton,41.8444735,-90.1887379,216
iowa,crawford,42.020579,-95.38118840000001,217
iowa,dallas,41.6744179,-94.0394437,218
iowa,davis,40.7474784,-92.3965311,219
iowa,decatur,40.741823100000005,-93.7994193,220
iowa,delaware,42.4663805,-91.3621282,221
iowa,des moines,41.5910641,-93.60371490000001,222
iowa,dickinson,43.375301799999995,-95.16542790000001,223
iowa,dubuque,42.5006217,-90.66479670000001,224
iowa,emmet,43.3707528,-94.6749933,225
iowa,fayette,42.8420766,-91.85026500000001,226
iowa,floyd,43.058789399999995,-92.78305390000001,227
iowa,franklin,42.7285907,-93.2513168,228
iowa,fremont,40.7345943,-95.5924782,229
iowa,greene,42.0182893,-94.40058640000001,230
iowa,grundy,42.4132701,-92.7808666,231
iowa,guthrie,41.672197600000004,-94.4985983,232
iowa,hamilton,42.382945,-93.7083849,233
iowa,hancock,43.08477020000001,-93.7363674,234
iowa,hardin,42.3840463,-93.22939179999999,235
iowa,harrison,41.665915500000004,-95.7976315,236
iowa,henry,40.977830100000006,-91.5511282,237
iowa,howard,43.3353641,-92.3230007,238
iowa,humboldt,42.7756032,-94.19561329999999,239
iowa,ida,42.378837100000005,-95.4949407,240
iowa,iowa,41.683983000000005,-92.06122679999999,241
iowa,jackson,42.1420382,-90.5480067,242
iowa,jasper,41.679130799999996,-93.0647786,243
iowa,jefferson,41.0131342,-91.9718642,244
iowa,johnson,41.825492,-91.833336,245
iowa,jones,42.108196899999996,-91.1427196,246
iowa,keokuk,41.510019,-92.20089200000001,247
iowa,kossuth,43.1825351,-94.209098,248
iowa,lee,40.6524894,-91.507313,249
iowa,linn,42.0631825,-91.6037932,250
iowa,louisa,41.206668,-91.26839759999999,251
iowa,lucas,41.0147422,-93.3427643,252
iowa,lyon,43.3747071,-96.2081917,253
iowa,madison,41.313340600000004,-94.0167968,254
iowa,mahaska,41.314939,-92.6489935,255
iowa,marion,42.0341658,-91.59767729999999,256
iowa,marshall,42.0378125,-92.9915704,257
iowa,mills,41.0171392,-95.60874770000001,258
iowa,mitchell,43.342033,-92.7840209,259
iowa,monona,42.0218737,-95.9356631,260
iowa,monroe,41.0142519,-92.87925440000001,261
iowa,montgomery,41.0166807,-95.1753285,262
iowa,muscatine,41.424473,-91.0432051,263
iowa,o brien,0.0,0.0,264
iowa,osceola,43.36846129999999,-95.6299944,265
iowa,page,40.736337,-95.1602396,266
iowa,palo alto,43.076282899999995,-94.6625047,267
iowa,plymouth,42.7369124,-96.2213607,268
iowa,pocahontas,42.726268100000006,-94.64773829999999,269
iowa,polk,41.676580799999996,-93.5921448,270
iowa,pottawattamie,41.3115686,-95.53312690000001,271
iowa,poweshiek,41.681651200000005,-92.5435034,272
iowa,ringgold,40.7399875,-94.2547473,273
iowa,sac,42.379785399999996,-95.0825306,274
iowa,scott,41.6251843,-90.61642009999998,275
iowa,shelby,41.668243,-95.31636230000001,276
iowa,sioux,43.057407899999994,-96.1602368,277
iowa,story,42.0161612,-93.489194,278
iowa,tama,42.056810799999994,-92.5433918,279
iowa,taylor,38.208544,-85.7732746,280
iowa,union,41.015699,-94.24726940000001,281
iowa,van buren,40.749202000000004,-91.9689529,282
iowa,wapello,41.0137597,-92.4140217,283
iowa,warren,41.3138645,-93.5685324,284
iowa,washington,41.316008200000006,-91.7340327,285
iowa,wayne,40.743661200000005,-93.343458,286
iowa,webster,42.43260720000001,-94.18431600000001,287
iowa,winnebago,43.374787899999994,-93.7316088,288
iowa,winneshiek,43.2677179,-91.8563139,289
iowa,woodbury,42.3775361,-96.06071870000001,290
iowa,worth,43.369676399999996,-93.2658698,291
iowa,wright,42.7404452,-93.7325849,292
kansas,allen,37.888216799999995,-95.3170208,293
kansas,anderson,38.198077000000005,-95.30674609999998,294
kansas,atchison,39.545815999999995,-95.3326052,295
kansas,barber,37.2113342,-98.70332629999999,296
kansas,barton,38.4683432,-98.776234,297
kansas,bourbon,37.8485797,-94.8679591,298
kansas,brown,39.824222999999996,-95.58199520000001,299
kansas,butler,37.77924,-96.8456342,300
kansas,chase,38.2928083,-96.61529159999999,301
kansas,chautauqua,37.146335,-96.26569659999998,302
kansas,cherokee,37.1718068,-94.84820690000001,303
kansas,cheyenne,39.7955799,-101.75754909999999,304
kansas,clark,37.2045719,-99.8133765,305
kansas,clay,39.3615169,-97.1718432,306
kansas,cloud,39.4850226,-97.6705137,307
kansas,coffey,38.235413,-95.7498925,308
kansas,comanche,37.19609439999999,-99.29583829999999,309
kansas,cowley,37.241315500000006,-96.8675685,310
kansas,crawford,37.503889,-94.86524659999999,311
kansas,decatur,39.7940527,-100.472769,312
kansas,dickinson,38.8790615,-97.1893341,313
kansas,doniphan,39.7831556,-95.1776492,314
kansas,douglas,38.883839200000004,-95.2874559,315
kansas,edwards,37.868474299999995,-99.3245584,316
kansas,elk,37.4619149,-96.25284509999999,317
kansas,ellis,38.9206744,-99.32670859999999,318
kansas,ellsworth,38.6942009,-98.2149289,319
kansas,finney,38.0452481,-100.8199963,320
kansas,ford,37.7072469,-99.8943146,321
kansas,franklin,38.5720008,-95.3184483,322
kansas,geary,38.9885445,-96.7619968,323
kansas,gove,38.9030073,-100.5073968,324
kansas,graham,39.34062,-99.8980624,325
kansas,grant,37.553026,-101.3067042,326
kansas,gray,37.7221896,-100.4373907,327
kansas,greeley,38.457035499999996,-101.8185007,328
kansas,greenwood,37.8709542,-96.2471338,329
kansas,hamilton,38.0058948,-101.8141159,330
kansas,harper,37.192206799999994,-98.0835849,331
kansas,harvey,38.0352315,-97.4486267,332
kansas,haskell,37.5611249,-100.8840421,333
kansas,hodgeman,38.0875979,-99.900952,334
kansas,jackson,39.403091700000004,-95.8159647,335
kansas,jefferson,39.240589299999996,-95.391413,336
kansas,jewell,39.795263,-98.2255146,337
kansas,johnson,38.883793299999994,-94.8389141,338
kansas,kearny,37.9960049,-101.35233559999999,339
kansas,kingman,37.5420937,-98.12217199999999,340
kansas,kiowa,37.5529578,-99.29655600000001,341
kansas,labette,37.1899712,-95.3103729,342
kansas,lane,38.46516629999999,-100.4776682,343
kansas,leavenworth,39.311325700000005,-94.922759,344
kansas,lincoln,39.0343606,-98.21555040000001,345
kansas,linn,38.196592700000004,-94.8578272,346
kansas,logan,38.9058216,-101.15523809999999,347
kansas,lyon,38.4573987,-96.1683124,348
kansas,marion,38.3734544,-97.1305937,349
kansas,marshall,39.7865054,-96.52556609999999,350
kansas,mcpherson,38.3659015,-97.65751709999999,351
kansas,meade,37.20911160000001,-100.396302,352
kansas,miami,38.562051399999994,-94.8557402,353
kansas,mitchell,39.3863019,-98.21126290000001,354
kansas,montgomery,37.198394799999996,-95.76283409999999,355
kansas,morris,38.6908906,-96.6707526,356
kansas,morton,37.1960735,-101.8099541,357
kansas,nemaha,39.7880532,-96.0157844,358
kansas,neosho,37.556634499999994,-95.33166,359
kansas,ness,38.4713429,-99.9586896,360
kansas,norton,39.794470200000006,-99.9100033,361
kansas,osage,38.6736049,-95.7367738,362
kansas,osborne,39.335155799999995,-98.79335090000001,363
kansas,ottawa,39.1273653,-97.6568094,364
kansas,pawnee,38.1858758,-99.240825,365
kansas,phillips,39.796154200000004,-99.346586,366
kansas,pottawatomie,39.3928203,-96.34142790000001,367
kansas,pratt,37.6280602,-98.7485305,368
kansas,rawlins,39.7904797,-101.09947220000001,369
kansas,reno,37.930344,-98.1055753,370
kansas,republic,39.8266503,-97.65808340000001,371
kansas,rice,38.3266261,-98.2007179,372
kansas,riley,39.3026347,-96.7709339,373
kansas,rooks,39.3494127,-99.3216587,374
kansas,rush,38.504775200000005,-99.309214,375
kansas,russell,38.897050799999995,-98.79804329999999,376
kansas,saline,38.77044620000001,-97.6669832,377
kansas,scott,38.4584915,-100.9336244,378
kansas,sedgwick,37.6448148,-97.46413879999999,379
kansas,seward,37.1850331,-100.8928434,380
kansas,shawnee,39.041671799999996,-94.72023759999999,381
kansas,sheridan,39.3530598,-100.4576457,382
kansas,sherman,39.34121270000001,-101.7492408,383
kansas,smith,39.796749,-98.79353929999999,384
kansas,stafford,38.0350094,-98.718816,385
kansas,stanton,37.569107200000005,-101.7935648,386
kansas,stevens,37.1929045,-101.31193540000001,387
kansas,sumner,37.2435967,-97.4792142,388
kansas,thomas,39.3529613,-101.08102290000001,389
kansas,trego,38.9289979,-99.91305720000001,390
kansas,wabaunsee,38.9468399,-96.19912409999999,391
kansas,wallace,38.9073846,-101.7565099,392
kansas,washington,39.788747799999996,-97.0917391,393
kansas,wichita,37.6922361,-97.3375448,394
kansas,wilson,37.5692118,-95.74526390000001,395
kansas,woodson,37.8811369,-95.7517113,396
kansas,wyandotte,39.1090458,-94.767624,397
kentucky,adair,37.095455799999996,-85.289922,398
kentucky,allen,36.7528961,-86.1924103,399
kentucky,anderson,38.0096811,-84.9880147,400
kentucky,ballard,37.023152100000004,-88.9888619,401
kentucky,barren,36.958464899999996,-85.92581700000001,402
kentucky,bath,38.124524799999996,-83.7249243,403
kentucky,bell,36.7370344,-83.6491695,404
kentucky,boone,38.9589235,-84.71601209999999,405
kentucky,bourbon,38.194486700000006,-84.2046611,406
kentucky,boyd,38.3608934,-82.6945926,407
kentucky,boyle,37.6240938,-84.8540572,408
kentucky,bracken,38.686946,-84.07514609999998,409
kentucky,breathitt,37.5248869,-83.2943551,410
kentucky,breckinridge,37.74063889999999,-86.4109353,411
kentucky,bullitt,37.9749498,-85.6742394,412
kentucky,butler,37.240158,-86.67392099999999,413
kentucky,caldwell,37.116966600000005,-87.83912109999999,414
kentucky,calloway,36.6257937,-88.27107600000001,415
kentucky,campbell,38.9339799,-84.37152859999999,416
kentucky,carlisle,36.8432751,-88.96368170000001,417
kentucky,carroll,38.65718,-85.1000246,418
kentucky,carter,38.319917100000005,-83.00390340000001,419
kentucky,casey,37.2911032,-84.91462940000001,420
kentucky,christian,36.877866499999996,-87.50145450000001,421
kentucky,clark,37.9713791,-84.15501450000001,422
kentucky,clay,37.1540436,-83.72314399999999,423
kentucky,clinton,36.7190018,-85.1426047,424
kentucky,crittenden,37.3600974,-88.08851059999999,425
kentucky,cumberland,36.7934611,-85.3795095,426
kentucky,daviess,37.6877924,-87.08183570000001,427
kentucky,edmonson,37.199918100000005,-86.2206738,428
kentucky,elliott,38.1178636,-83.0656398,429
kentucky,estill,37.6896864,-83.94072790000001,430
kentucky,fayette,38.028064799999996,-84.47224440000001,431
kentucky,fleming,38.366388799999996,-83.6790737,432
kentucky,floyd,37.547345899999996,-82.76456209999999,433
kentucky,franklin,38.25204229999999,-84.8633812,434
kentucky,fulton,36.55770820000001,-89.102082,435
kentucky,gallatin,38.7531444,-84.8435828,436
kentucky,garrard,37.6360342,-84.5408428,437
kentucky,grant,38.6472221,-84.6162564,438
kentucky,graves,36.7244966,-88.6569094,439
kentucky,grayson,37.453743700000004,-86.3389464,440
kentucky,green,37.2433976,-85.53463020000001,441
kentucky,greenup,38.5108112,-82.9180186,442
kentucky,hancock,37.8189002,-86.75322609999999,443
kentucky,hardin,37.6645815,-85.9634901,444
